
[+] Resolving hosts from [ host.txt ]
+-----------------------------------------------------------------------------+-----------------+-------+
| Hostname                                                                    | IP              | RType |
+-----------------------------------------------------------------------------+-----------------+-------+
| 0-212-173.news.com.pk                                                       | 173.212.196.60  |   A   |
| 0-server.colgate.com.pk                                                     | 35.213.138.68   |   A   |
| 0-server.dailytimes.com.pk                                                  | 67.227.194.235  | CNAME |
| 0.0.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| 0.0.pmc.gov.pk                                                              | 43.250.84.119   |   A   |
| 0.agpr.gov.pk                                                               | 210.56.11.83    |   A   |
| 0.colgate.com.pk                                                            | 35.213.138.68   |   A   |
| 0.daewoo.com.pk                                                             | 144.76.139.14   |   A   |
| 0.icbb.vu.edu.pk                                                            | 104.21.26.189   | CNAME |
| 0.kp.gov.pk                                                                 | 175.107.63.150  |   A   |
| 0.lesco.gov.pk                                                              | 65.254.231.115  |   A   |
| 0.pmd.gov.pk                                                                | 203.124.42.75   |   A   |
| 0.uskt.edu.pk                                                               | 206.72.198.158  |   A   |
| 00.icbb.vu.edu.pk                                                           | 104.21.26.189   | CNAME |
| 00.kp.gov.pk                                                                | 175.107.63.150  |   A   |
| 00.pmc.gov.pk                                                               | 43.250.84.119   |   A   |
| 0010.icbb.vu.edu.pk                                                         | 104.21.26.189   | CNAME |
| 008.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| 01.68.97.138.ist.edu.pk                                                     | 111.68.97.150   |   A   |
| 01.agpr.gov.pk                                                              | 210.56.11.83    |   A   |
| 01.icbb.vu.edu.pk                                                           | 172.67.138.93   | CNAME |
| 01.kp.gov.pk                                                                | 175.107.63.150  |   A   |
| 010.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 011.colgate.com.pk                                                          | 35.213.138.68   |   A   |
| 011.icbb.vu.edu.pk                                                          | 104.21.26.189   | CNAME |
| 013.icbb.vu.edu.pk                                                          | 172.67.138.93   | CNAME |
| 016.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| 017.icbb.vu.edu.pk                                                          | 104.21.26.189   | CNAME |
| 02.icbb.vu.edu.pk                                                           | 104.21.26.189   | CNAME |
| 02.kp.gov.pk                                                                | 175.107.63.150  |   A   |
| 03.kp.gov.pk                                                                | 175.107.63.150  |   A   |
| 032111.68.97.129.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 032autodiscover.stsi.org.pk                                                 | 66.45.239.104   |   A   |
| 032cpanel.lpp.org.pk                                                        | 65.21.166.30    |   A   |
| 032cpanel.rds.net.pk                                                        | 162.215.249.85  |   A   |
| 032cpanel.stsi.org.pk                                                       | 66.45.239.104   |   A   |
| 032does11.duhs.edu.pk                                                       | 67.222.63.249   |   A   |
| 032does12.duhs.edu.pk                                                       | 67.222.63.249   |   A   |
| 032does2.duhs.edu.pk                                                        | 67.222.63.249   |   A   |
| 032elearning.duhs.edu.pk                                                    | 67.222.63.249   |   A   |
| 032emr.duhs.edu.pk                                                          | 67.222.63.249   |   A   |
| 032exam.stsi.org.pk                                                         | 66.45.239.104   |   A   |
| 032exams.duhs.edu.pk                                                        | 67.222.63.249   |   A   |
| 032google.news.com.pk                                                       | 173.212.196.60  |   A   |
| 032grassroots.lpp.org.pk                                                    | 65.21.166.30    |   A   |
| 032mail.daewoo.com.pk                                                       | 144.76.139.14   |   A   |
| 032mail.duhs.edu.pk                                                         | 67.222.63.249   |   A   |
| 032mail.lpp.org.pk                                                          | 65.21.166.30    |   A   |
| 032namc.pmd.gov.pk                                                          | 203.124.42.75   |   A   |
| 032nwfc.pmd.gov.pk                                                          | 203.124.42.75   |   A   |
| 032relay.lpp.org.pk                                                         | 65.21.166.30    |   A   |
| 032reports.duhs.edu.pk                                                      | 67.222.63.249   |   A   |
| 032s01.rds.net.pk                                                           | 162.215.249.85  |   A   |
| 032speedtest.rds.net.pk                                                     | 162.215.249.85  |   A   |
| 032submit.news.com.pk                                                       | 173.212.196.60  |   A   |
| 032webmail.daewoo.com.pk                                                    | 144.76.139.14   |   A   |
| 032www.cc2.pu.edu.pk                                                        | 111.68.103.27   |   A   |
| 032www.ce.pu.edu.pk                                                         | 111.68.103.27   |   A   |
| 032www.daewoo.com.pk                                                        | 144.76.139.14   |   A   |
| 032www.dsa.pu.edu.pk                                                        | 111.68.103.27   |   A   |
| 032www.duhs.edu.pk                                                          | 67.222.63.249   |   A   |
| 032www.forex.com.pk                                                         | 167.114.174.80  |   A   |
| 032www.grassroots.lpp.org.pk                                                | 65.21.166.30    |   A   |
| 032www.is.pu.edu.pk                                                         | 111.68.103.27   |   A   |
| 032www.lesco.gov.pk                                                         | 65.254.231.115  |   A   |
| 032www.pmc.gov.pk                                                           | 43.250.84.119   |   A   |
| 032www.pmd.gov.pk                                                           | 203.124.42.75   |   A   |
| 032www.shield.com.pk                                                        | 65.254.228.100  |   A   |
| 032www.stsi.org.pk                                                          | 66.45.239.104   |   A   |
| 032www.ww.pu.edu.pk                                                         | 111.68.103.27   |   A   |
| 033.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 034.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 035.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| 037.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 039.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| 039.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 04.icbb.vu.edu.pk                                                           | 104.21.26.189   | CNAME |
| 043.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| 048.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 052.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 053.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 054.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 058.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| 059.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 06.icbb.vu.edu.pk                                                           | 172.67.138.93   | CNAME |
| 062.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 072.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 073.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| 073.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 074.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 077.icbb.vu.edu.pk                                                          | 172.67.138.93   | CNAME |
| 077.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 08.icbb.vu.edu.pk                                                           | 172.67.138.93   | CNAME |
| 08.uskt.edu.pk                                                              | 206.72.198.158  |   A   |
| 081.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 083.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| 087.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 089.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 09-www.pmc.gov.pk                                                           | 43.250.84.119   |   A   |
| 09.68.97.128.ist.edu.pk                                                     | 111.68.97.150   |   A   |
| 09.68.97.137.ist.edu.pk                                                     | 111.68.97.150   |   A   |
| 09.icbb.vu.edu.pk                                                           | 172.67.138.93   | CNAME |
| 09.kp.gov.pk                                                                | 175.107.63.150  |   A   |
