rail.namal.edu.pk 10.0.0.103 
library.namal.edu.pk 10.0.0.151 
lms.namal.edu.pk 10.0.0.157 
nulms.namal.edu.pk 10.0.0.158 
speedtest.wancom.net.pk 103.11.2.11 
cloud.wancom.net.pk 103.11.2.3 
login.wancom.net.pk 103.11.2.5 
wancom.net.pk 103.11.2.7 
www.wancom.net.pk 103.11.2.7 
elm2.punjabpolice.gov.pk 103.119.125.150 
elm.punjabpolice.gov.pk 103.119.125.150 
legalaffairs.punjabpolice.gov.pk 103.119.125.150 
www.elm.punjabpolice.gov.pk 103.119.125.150 
www.legalaffairs.punjabpolice.gov.pk 103.119.125.150 
avls.punjabpolice.gov.pk 103.119.125.153 
dcr.punjabpolice.gov.pk 103.119.125.153 
dcr2.punjabpolice.gov.pk 103.119.125.153 
toolkit.punjabpolice.gov.pk 103.119.125.153 
www.avls.punjabpolice.gov.pk 103.119.125.153 
www.toolkit.punjabpolice.gov.pk 103.119.125.153 
log.bbi.net.pk 103.120.116.10 
speed.bbi.net.pk 103.120.116.3 
erp.bbi.net.pk 103.120.116.5 
movie.bbi.net.pk 103.120.116.5 
unms.bbi.net.pk 103.120.116.6 
billing.bbi.net.pk 103.120.116.7 
cp.bbi.net.pk 103.120.116.8 
speedshd.bbi.net.pk 103.120.117.4 
speeddhk.bbi.net.pk 103.120.119.2 
gw.fbr.gov.pk 103.125.60.111 
ims.pral.com.pk 103.125.60.111 
esbn.fbr.gov.pk 103.125.60.116 
help.fbr.gov.pk 103.125.60.119 
download1.fbr.gov.pk 103.125.60.125 
ims.fbr.gov.pk 103.125.60.128 
edi.fbr.gov.pk 103.125.60.131 
mx01.pral.com.pk 103.125.60.166 
mail.pra.punjab.gov.pk 103.125.60.184 
smtp1.pral.com.pk 103.125.60.186 
smtp2.pral.com.pk 103.125.60.187 
e.fbr.gov.pk 103.125.60.51 
www.e.fbr.gov.pk 103.125.60.51 
paysys.fbr.gov.pk 103.125.60.52 
excas1.pral.com.pk 103.125.60.54 
download.fbr.gov.pk 103.125.60.55 
esp.fbr.gov.pk 103.125.60.56 
mpr.fbr.gov.pk 103.125.60.57 
fbr.gov.pk 103.125.60.60 
ipv6.fbr.gov.pk 103.125.60.60 
www.fbr.gov.pk 103.125.60.60 
e.pra.punjab.gov.pk 103.125.60.63 
autodiscover.pral.com.pk 103.125.60.65 
excas2.pral.com.pk 103.125.60.65 
exchange.pral.com.pk 103.125.60.65 
mx02.fbr.gov.pk 103.125.60.67 
mx03.pral.com.pk 103.125.60.67 
kpra.kp.gov.pk 103.125.60.69 
www.kpra.kp.gov.pk 103.125.60.69 
beta.pral.com.pk 103.125.60.72 
ftp.pral.com.pk 103.125.60.72 
pral.com.pk 103.125.60.72 
www.pral.com.pk 103.125.60.72 
autodiscover.fbr.gov.pk 103.125.60.73 
cas1.fbr.gov.pk 103.125.60.73 
mail.fbr.gov.pk 103.125.60.73 
cas2.fbr.gov.pk 103.125.60.74 
portal.pral.com.pk 103.125.60.75 
iris.fbr.gov.pk 103.125.60.77 
crm.fbr.gov.pk 103.125.60.86 
dgtrir.fbr.gov.pk 103.125.60.93 
upload.fbr.gov.pk 103.125.60.94 
urdu.fbr.gov.pk 103.125.60.95 
demo.fbr.gov.pk 103.125.60.97 
s03.rds.net.pk 103.125.71.68 
admissions.isra.edu.pk 103.12.58.103 
hospital.isra.edu.pk 103.12.58.103 
imap.isra.edu.pk 103.12.58.105 
mail.isra.edu.pk 103.12.58.105 
pop3.isra.edu.pk 103.12.58.105 
pop.isra.edu.pk 103.12.58.105 
alumni.isra.edu.pk 103.12.58.109 
directory.isra.edu.pk 103.12.58.109 
oric.isra.edu.pk 103.12.58.109 
qec.isra.edu.pk 103.12.58.109 
soft.isra.edu.pk 103.12.58.109 
mail.sial.com.pk 103.127.38.221 
speedtest.rds.net.pk 103.127.38.254 
mail01.unze.com.pk 103.130.157.122 
crm.galaxy.net.pk 103.146.136.138 
ip3.galaxy.net.pk 103.146.136.139 
speedtest.galaxy.net.pk 103.146.136.139 
ubnt-speedtest.galaxy.net.pk 103.146.136.139 
cacti.galaxy.net.pk 103.146.136.142 
nms.galaxy.net.pk 103.146.136.142 
autodiscover.bok.com.pk 103.150.9.11 
mail.bok.com.pk 103.150.9.11 
digital.bok.com.pk 103.150.9.31 
abanking.bok.com.pk 103.150.9.34 
corporate.bok.com.pk 103.150.9.35 
ebank.bok.com.pk 103.150.9.36 
admission.ntu.edu.pk 103.152.254.61 
apps.ntu.edu.pk 103.152.254.61 
bic.ntu.edu.pk 103.152.254.61 
cpanel.ntu.edu.pk 103.152.254.61 
fbs.ntu.edu.pk 103.152.254.61 
ftp.apps.ntu.edu.pk 103.152.254.61 
ftp.ntu.edu.pk 103.152.254.61 
jdc.ntu.edu.pk 103.152.254.61 
mail.apps.ntu.edu.pk 103.152.254.61 
ntu.edu.pk 103.152.254.61 
set.ntu.edu.pk 103.152.254.61 
sos.ntu.edu.pk 103.152.254.61 
webdisk.ntu.edu.pk 103.152.254.61 
webmail.ntu.edu.pk 103.152.254.61 
whm.ntu.edu.pk 103.152.254.61 
www.apps.ntu.edu.pk 103.152.254.61 
www.ntu.edu.pk 103.152.254.61 
www.set.ntu.edu.pk 103.152.254.61 
www.soad.ntu.edu.pk 103.152.254.61 
www.sos.ntu.edu.pk 103.152.254.61 
alumni.quest.edu.pk 103.152.255.188 
cse.attendance.quest.edu.pk 103.152.255.188 
cse.quest.edu.pk 103.152.255.188 
ftp.quest.edu.pk 103.152.255.188 
lists.quest.edu.pk 103.152.255.188 
qucest.quest.edu.pk 103.152.255.188 
quest.edu.pk 103.152.255.188 
